LAUNCHES AND ORBITAL FLIGHTS,,,,,,,,,,,,
Order,Flight date,Mission,Shuttle,Crew,Duration[a],Landing Site,Notes,Sources,,,,
1,08/12/77,ALT-12[b],Enterprise,2,00d 00h 05m,Edwards,First free flight of Space Shuttle; first non-captive flight of Enterprise,[23][24][25][26],,,,
2,09/13/77,ALT-13,Enterprise,2,00d 00h 05m,Edwards,Second free flight,[23][24],,,,
3,09/23/77,ALT-14,Enterprise,2,00d 00h 05m,Edwards,Third free flight,[23][24],,,,
4,10/12/77,ALT-15,Enterprise,2,00d 00h 02m,Edwards,Fourth free flight; first flight without tailcone (operational configuration),[23][24][26][27],,,,
5,10/26/77,ALT-16,Enterprise,2,00d 00h 02m,Edwards,Final free flight; final non-captive flight of Enterprise,[23][24][28],,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FLIGHT STATISTICS,,,,,,,,,,,,
Key,,,,,,,,,,,,
, Test vehicle,,,,,,,,,,,
, Lost,,,,,,,,,,,
Shuttle,,Designation,Flights,Flight days,Orbits,Longest flight,First flight,,Last flight,,"MIR/ISS
Docking",Sources
,,,,,,,Flight,Date,Flight,Date,,
Enterprise ,,"OV-101,
Test Vehicle",5,00d 00h 19m,0,00d 00h 05m,ALT-12,08/12/77,ALT-16,10/26/77,– / –,[9][10][11][12]
Columbia ,,OV-102,28,300d 17h 47m 15s,4808,17d 15h 53m 18s,STS-1,04/12/81,STS-107,01/16/03,0 / 0,[9][10][13][14]
Challenger ,,OV-099,10,62d 07h 56m 15s,995,08d 05h 23m 33s,STS-6,04/04/83,STS-51-L,01/28/86,0 / 0,[9][10][15][16]
Discovery,,OV-103,39,364d 22h 39m 29s,5830,15d 02h 48m 08s,STS-41-D,08/30/84,STS-133,02/24/11,01/13/14,[9][10][17][18]
Atlantis,,OV-104,33,306d 14h 12m 43s,4848,13d 20h 12m 44s,STS-51-J,10/03/85,STS-135,07/08/11,07/12/14,[9][10][19][20]
Endeavour,,OV-105,25,296d 03h 34m 02s,4677,16d 15h 08m 48s,STS-49,05/07/92,STS-134,05/16/11,01/12/14,[9][10][21][22]
Total,,,135,1330d 18h 9m 44s,21158,,,,,,09/01/37,
,,,,,,,,,,,,
CONTINGENCY MISSIONS,,,,,,,,,,,,
Year,Contingency mission,Supported mission,,Year,Contingency mission,Supported mission,,,,,,
2005,STS-300 Atlantis,STS-114 Discovery,,2007,STS-320 Atlantis,STS-120 Discovery,,,,,,
2006,STS-300 Atlantis,STS-121 Discovery,,2008,STS-323 Discovery [c][312],STS-122 Atlantis,,,,,,
,STS-301 Discovery,STS-115 Atlantis,,,STS-324 Discovery,STS-123 Endeavour,,,,,,
2007,STS-317 Atlantis,STS-116 Discovery,,,STS-326 Endeavour,STS-124 Discovery,,,,,,
,STS-318 Endeavour,STS-117 Atlantis,,2009,STS-400 Endeavour,STS-125 Atlantis,,,,,,
