PHRASE: house science _nytCount: 16 _historyStories.size(): 18 _mentions: 18        _unique stories: 0
PHRASE: chandra xray _nytCount: 28 _historyStories.size(): 18 _mentions: 21        _unique stories: 0
PHRASE: xray observatory _nytCount: 28 _historyStories.size(): 18 _mentions: 21        _unique stories: 0
PHRASE: news conference _nytCount: 38 _historyStories.size(): 18 _mentions: 18        _unique stories: 1
PHRASE: delta ii _nytCount: 2 _historyStories.size(): 17 _mentions: 21        _unique stories: 0
PHRASE: wind tunnel _nytCount: 3 _historyStories.size(): 17 _mentions: 23        _unique stories: 2
PHRASE: aerospace companies _nytCount: 5 _historyStories.size(): 17 _mentions: 17        _unique stories: 3
PHRASE: satellite system _nytCount: 6 _historyStories.size(): 17 _mentions: 17        _unique stories: 2
PHRASE: nasa researchers _nytCount: 6 _historyStories.size(): 17 _mentions: 17        _unique stories: 1
PHRASE: house committee _nytCount: 11 _historyStories.size(): 17 _mentions: 20        _unique stories: 0
PHRASE: telescope science _nytCount: 17 _historyStories.size(): 17 _mentions: 19        _unique stories: 0
PHRASE: space agencys _nytCount: 20 _historyStories.size(): 17 _mentions: 17        _unique stories: 1
PHRASE: six months _nytCount: 20 _historyStories.size(): 17 _mentions: 18        _unique stories: 2
PHRASE: earth science _nytCount: 2 _historyStories.size(): 16 _mentions: 23        _unique stories: 1
PHRASE: news agency _nytCount: 4 _historyStories.size(): 16 _mentions: 17        _unique stories: 4
PHRASE: control center _nytCount: 5 _historyStories.size(): 16 _mentions: 18        _unique stories: 0
PHRASE: test flight _nytCount: 7 _historyStories.size(): 16 _mentions: 18        _unique stories: 0
PHRASE: ray observatory _nytCount: 8 _historyStories.size(): 16 _mentions: 19        _unique stories: 0
PHRASE: nasa managers _nytCount: 10 _historyStories.size(): 16 _mentions: 16        _unique stories: 0
PHRASE: repair mission _nytCount: 11 _historyStories.size(): 16 _mentions: 16        _unique stories: 0
PHRASE: american space _nytCount: 20 _historyStories.size(): 16 _mentions: 17        _unique stories: 0
PHRASE: million years _nytCount: 58 _historyStories.size(): 16 _mentions: 18        _unique stories: 3
PHRASE: italian space _nytCount: 3 _historyStories.size(): 15 _mentions: 20        _unique stories: 0
PHRASE: c michael _nytCount: 8 _historyStories.size(): 15 _mentions: 15        _unique stories: 0
PHRASE: air and space _nytCount: 23 _historyStories.size(): 15 _mentions: 18        _unique stories: 0
PHRASE: american astronaut _nytCount: 40 _historyStories.size(): 15 _mentions: 16        _unique stories: 0
PHRASE: 25th anniversary _nytCount: 2 _historyStories.size(): 14 _mentions: 14        _unique stories: 1
PHRASE: cargo spacecraft _nytCount: 2 _historyStories.size(): 14 _mentions: 15        _unique stories: 0
PHRASE: missile range _nytCount: 3 _historyStories.size(): 14 _mentions: 14        _unique stories: 2
PHRASE: force station _nytCount: 3 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
PHRASE: center houston _nytCount: 4 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
PHRASE: russian officials _nytCount: 7 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
PHRASE: space alliance _nytCount: 8 _historyStories.size(): 14 _mentions: 14        _unique stories: 0
