excellent :170
department :170
cited :170
carrier :170
beam :170
announcement :170
600 :170
vapor :169
spaceflight :169
political :169
involved :169
hines :169
detection :169
capabilities :169
biological :169
behind :169
aa :169
panels :168
heavy :168
ford :168
charged :168
antennas :168
a2 :168
78 :168
volume :167
sub :167
section :167
seamans :167
purposes :167
ii :167
goals :167
distribution :167
delay :167
aiaa :167
56 :167
waves :166
identified :166
grumman :166
corps :166
stated :165
participation :165
longrange :165
hour :165
display :165
52 :165
vote :164
transmitting :164
resulted :164
leadership :164
home :164
extend :164
ed :164
critical :164
crash :164
actual :164
accepted :164
strength :163
status :163
separated :163
texas :162
smaller :162
practical :162
look :162
dropped :162
communist :162
apr :162
approval :162
747 :162
47 :162
supported :161
maneuvers :161
manage :161
lovell :161
difficult :161
determined :161
arms :161
accident :161
records :160
particle :160
louis :160
investigations :160
fiscal :160
ended :160
due :160
communication :160
bring :160
bell :160
structures :159
spacecraftâ€™s :159
soon :159
propellant :159
perhaps :159
harold :159
emissions :159
configuration :159
boom :159
accurate :159
38 :159
tem :158
telecommunications :158
hawaii :158
49 :158
46 :158
∞a :157
social :157
rescue :157
reconnaissance :157
recently :157
nikecajun :157
munications :157
md :157
landings :157
kind :157
jointly :157
groups :157
food :157
evening :157
anderson :157
uss :156
metal :156
function :156
64 :156
170 :156
trip :155
standards :155
ready :155
processes :155
naa :155
lt :155
living :155
highest :155
extensive :155
condition :155
collect :155
astronomer :155
53 :155
wings :154
vertical :154
session :154
secondary :154
positions :154
mol :154
location :154
key :154
hoped :154
delayed :154
sr :153
reviewed :153
motion :153
emphasis :153
contact :153
attack :153
urged :152
turn :152
professor :152
permanent :152
here :152
features :152
ensure :152
enable :152
drop :152
students :151
response :151
method :151
intensity :151
frequency :151
fabrication :151
borman :151
ten :150
speech :150
send :150
roundup :150
percent :150
outstanding :150
map :150
lite :150
integration :150
aspects :150
terms :149
installation :149
hugh :149
expenditures :149
economy :149
earthâ€˜s :149
subject :148
smith :148
separation :148
nitrogen :148
natl :148
mex :148
images :148
controlled :148
circular :148
67 :148
63 :148
worth :147
vii :147
photograph :147
fall :147
explore :147
does :147
broad :147
b52 :147
attended :147
winds :146
urban :146
powerful :146
origin :146
motors :146
malfunction :146
lifting :146
job :146
greatest :146
face :146
external :146
dollars :146
despite :146
concepts :146
comsats :146
canadian :146
cambridge :146
51 :146
1980 :146
wsj :145
passenger :145
ob :145
efficiency :145
agreements :145
ac :145
â€œit :144
real :144
plants :144
maintenance :144
hope :144
historical :144
functions :144
reason :143
ozone :143
organizations :143
object :143
minimum :143
message :143
me :143
marked :143
lifetime :143
intended :143
eva :143
degree :143
combined :143
average :143
authorized :143
airports :143
72 :143
track :142
specialists :142
relatively :142
photographic :142
neil :142
launchings :142
independent :142
educational :142
cooper :142
collected :142
channels :142
appropriation :142
sky :141
platform :141
newspaper :141
minuteman :141
liftoff :141
handling :141
geophysical :141
distinguished :141
bay :141
accomplished :141
2000 :141
price :140
prevent :140
ordered :140
accuracy :140
a6 :140
wilford :139
visited :139
participate :139
opera :139
oneyear :139
offered :139
mo :139
grant :139
experts :139
43 :139
â€œi :138
vacuum :138
traveled :138
products :138
offices :138
memorial :138
mankind :138
americans :138
120 :138
variety :137
shape :137
scien :137
sales :137
possibly :137
opportunity :137
