million for ,0,10,5,27,10,19,29,54,52,38,48,30,23,31,8,16
space research ,3,25,37,52,47,40,19,21,16,17,12,33,25,30,19,10
manned spacecraft ,5,25,61,66,66,15,8,7,5,7,10,113,22,5,3,2
and in ,0,15,26,33,35,30,35,31,24,24,15,27,23,14,20,16
communications satellite ,7,23,70,87,46,19,10,9,4,9,3,19,36,26,28,9
which would ,2,13,20,41,53,44,52,30,18,15,17,13,10,20,22,23
to make ,2,10,36,23,53,18,25,26,26,29,22,22,33,16,17,23
according to ,7,12,32,62,49,20,37,29,24,10,11,12,7,8,17,37
nasa proj ,0,0,0,3,16,52,60,33,77,40,61,64,1,2,0,0
space science ,3,12,18,35,33,29,24,17,27,14,17,37,30,28,31,10
ap wash ,0,0,137,74,98,99,0,0,0,0,0,0,0,0,0,0
would provide ,1,12,31,25,32,21,22,14,17,25,19,26,31,20,34,29
data from ,3,11,26,23,24,19,20,15,25,20,32,43,25,18,20,28
was not ,3,8,35,36,51,22,30,36,29,22,25,31,22,14,8,10
marshall space ,8,17,28,39,57,2,2,5,1,2,4,61,55,44,44,21
be launched ,2,21,33,27,27,24,27,31,25,24,29,35,28,18,13,16
to determine ,2,15,31,27,37,22,28,20,27,25,34,36,30,13,17,15
the most ,1,13,34,32,47,18,25,12,20,20,19,20,27,21,25,24
by dr ,4,14,25,32,29,32,11,12,26,46,36,54,34,7,14,12
lunar landing ,3,8,31,41,22,27,22,30,89,41,28,36,5,5,5,4
of new ,6,18,29,44,24,27,28,25,26,30,40,42,19,8,11,4
the nasa ,6,20,36,34,72,18,23,5,5,10,3,3,40,33,30,15
to nasa ,3,14,21,51,49,24,16,19,25,22,24,28,19,21,12,14
not be ,3,22,32,27,49,30,43,20,26,16,21,27,22,15,10,12
study of ,2,14,31,31,36,28,18,24,23,28,24,43,14,14,19,18
was a ,9,12,27,35,53,27,24,6,10,8,9,9,20,23,32,29
space technology ,3,7,27,22,33,8,11,9,12,8,22,59,32,27,33,33
in which ,6,6,37,38,26,30,37,21,32,34,26,22,12,3,12,19
washington dc ,2,3,10,3,36,29,36,24,31,52,38,33,30,12,9,14
had not ,1,10,6,18,21,25,25,20,26,23,27,29,12,11,23,40
the two ,0,14,29,41,53,11,12,5,5,10,10,10,20,23,54,21
institute of ,2,19,30,31,40,22,14,6,16,14,18,42,38,20,16,30
goddard space ,5,21,32,53,45,6,6,4,3,3,2,52,46,24,41,18
ussr launched ,2,4,4,7,18,28,22,21,34,55,57,46,52,24,4,3
from a ,1,12,24,24,61,15,27,4,5,7,11,9,30,26,32,39
on earth ,1,12,29,13,43,23,14,24,47,28,21,36,17,2,17,33
ap nyt ,0,0,11,64,79,54,58,45,12,16,14,17,5,5,2,0
of defense ,4,15,28,38,26,11,24,18,14,26,6,60,54,26,9,9
should be ,1,14,34,40,40,15,29,16,41,27,23,22,20,12,9,20
the lunar ,0,19,26,58,55,30,34,8,12,11,13,19,33,8,13,15
on science ,5,19,36,29,27,17,35,19,29,25,20,35,37,20,8,6
such as ,0,16,13,26,38,13,21,16,11,11,10,20,6,15,29,49
aeronautics and ,3,15,34,31,40,20,24,27,17,12,7,35,32,20,15,13
the launch ,2,16,18,26,33,7,11,7,5,6,5,5,41,31,82,23
of our ,3,28,59,53,46,19,26,19,18,20,32,21,18,6,2,0
less than ,1,13,30,36,34,27,20,25,24,24,14,17,22,19,16,18
is a ,7,24,65,49,52,25,29,16,31,19,13,17,12,3,2,3
the second ,5,15,20,35,55,6,10,2,4,2,3,6,42,30,27,37
which had ,0,7,6,22,24,29,25,31,30,22,12,8,16,25,26,28
of us ,2,13,39,49,16,11,24,15,33,30,27,57,8,7,6,12
cost of ,1,10,23,29,24,19,12,14,16,21,13,36,10,24,26,26
might be ,0,11,12,20,34,36,24,19,22,27,24,28,18,18,14,36
for use ,3,13,14,39,48,14,19,15,8,23,9,17,17,13,25,40
able to ,3,15,18,37,57,12,23,21,22,14,14,27,23,12,15,21
dod release ,0,0,74,62,49,23,17,30,19,21,7,10,28,16,4,1
chief of ,5,13,33,36,32,26,24,23,11,23,19,26,26,18,9,12
n y ,0,0,116,0,122,8,3,15,5,35,6,3,37,3,0,1
of sciences ,11,14,24,32,32,15,11,7,11,18,28,53,29,29,13,7
in new ,5,13,29,33,29,25,27,25,40,38,19,33,9,9,3,9
first time ,3,9,27,20,37,25,12,13,17,33,21,30,26,17,18,10
launch of ,1,8,12,22,23,22,19,24,12,22,15,25,26,18,32,15
at least ,0,7,17,25,41,34,28,17,21,29,24,26,18,10,12,10
in an ,2,11,8,27,78,27,23,7,5,6,4,7,30,22,29,29
chairman of ,4,13,48,33,32,20,25,23,18,16,20,30,24,8,10,18
be a ,3,15,44,39,50,18,22,8,13,10,10,14,22,12,15,19
award of ,1,8,16,21,3,4,5,10,24,46,36,52,25,17,35,23
would not ,1,8,28,17,49,18,31,19,24,22,14,21,17,17,14,29
the solar ,0,8,11,9,43,14,8,0,10,8,4,9,68,40,31,32
out of ,2,12,34,31,42,22,26,21,17,20,13,20,19,14,18,14
is the ,1,18,63,42,62,22,21,16,23,16,24,25,10,1,0,6
the program ,3,5,35,62,46,9,12,5,5,4,6,4,29,23,23,30
president nixon ,0,0,0,0,0,0,0,0,86,65,68,73,28,20,2,4
and astronautics ,4,24,35,39,28,19,28,13,23,22,17,27,32,10,7,3
of two ,2,9,13,27,25,26,22,31,28,30,25,23,21,20,19,6
at nasa ,4,9,26,69,86,16,13,14,13,16,9,12,5,13,12,13
contract for ,2,5,25,41,38,20,28,22,19,28,20,10,15,10,12,13
was expected ,1,9,13,26,32,14,23,26,22,15,17,41,42,25,20,7
used in ,5,14,29,34,35,21,27,8,11,18,20,26,13,15,8,39
program to ,3,11,13,31,22,23,20,16,21,24,25,28,26,15,29,12
∞ dr ,6,18,32,75,23,20,15,23,30,45,28,23,3,1,0,0
y t ,0,0,111,0,122,8,2,14,5,34,5,1,36,3,0,0
president of ,1,10,32,26,35,30,17,14,27,26,25,15,19,16,16,17
of lunar ,0,2,14,15,8,23,34,23,76,38,34,39,10,5,4,3
and that ,3,21,35,25,47,18,19,7,11,20,17,16,16,19,17,22
proj off ,0,0,0,1,0,2,46,37,55,28,49,66,43,7,2,0
of science ,4,14,42,26,25,24,15,10,25,16,16,26,28,8,18,16
who had ,1,4,3,10,17,22,17,15,27,23,35,32,34,19,19,17
be the ,5,16,26,28,50,10,17,4,10,7,9,9,23,16,22,29
the house ,3,24,28,29,49,16,30,4,1,2,2,1,43,38,22,9
in this ,5,21,40,62,54,14,21,13,16,13,9,20,14,5,7,2
∞ usaf ,6,35,51,76,12,39,31,28,19,22,11,0,0,0,0,0
used to ,0,20,14,28,36,19,28,17,13,18,10,30,23,13,29,21
space station ,1,5,23,32,18,1,11,4,35,51,21,15,19,21,21,13
was being ,0,8,9,24,28,21,23,20,25,24,18,34,33,27,23,4
that we ,2,16,46,38,41,18,27,16,33,20,25,18,10,5,1,0
for nasa ,4,20,35,48,26,13,12,14,13,21,9,32,17,13,18,9
that a ,8,16,35,43,55,17,11,5,5,7,4,5,14,14,20,17
construction of ,1,10,22,38,31,13,28,22,20,24,17,21,14,19,16,12
moon and ,1,9,21,21,26,37,18,16,49,31,18,30,16,10,7,8
house committee ,3,15,33,26,26,15,30,19,23,21,20,27,34,17,3,2
outer space ,7,27,29,24,29,45,28,12,16,9,12,27,11,10,15,8
nasa would ,0,6,12,27,26,17,20,18,16,15,8,17,14,19,18,10
and its ,1,7,12,17,18,17,22,17,16,15,17,15,34,23,23,15
for launch ,2,2,4,12,12,20,13,22,34,23,23,29,12,12,31,15
and data ,1,1,22,19,20,14,17,29,25,23,22,21,16,32,16,9
nasa hq ,0,4,20,26,22,36,27,13,22,22,7,16,19,19,6,29
that it ,4,12,36,39,29,19,30,6,9,13,15,16,19,12,9,23
soviet union ,3,14,23,20,63,16,13,12,14,7,17,14,7,11,37,23
the flight ,2,14,21,43,68,10,6,2,5,9,3,3,25,20,20,26
scientific and ,4,9,33,26,41,19,21,19,25,18,12,22,23,14,8,11
dr robert ,1,13,20,29,37,26,23,9,33,17,15,20,13,9,6,13
apollo 11 ,0,0,0,0,0,0,0,0,200,58,29,10,2,3,0,6
wallops station ,4,25,31,21,36,44,27,28,20,24,24,18,8,1,0,0
srl ∞ ,0,0,0,53,6,46,53,69,44,15,14,9,2,0,0,0
program was ,0,8,8,19,18,28,33,17,30,13,22,37,21,20,16,8
kennedy space ,0,0,6,21,46,5,2,3,4,0,2,62,56,30,44,12
for manned ,1,5,20,53,29,27,28,25,28,21,16,16,13,13,5,4
aircraft corp ,1,9,19,16,37,39,9,20,22,19,39,26,17,20,7,8
about the ,0,14,31,35,43,17,22,10,16,13,12,14,15,7,12,21
vice president ,4,10,32,11,36,28,15,19,23,26,29,21,22,8,9,7
responsible for ,1,3,16,26,17,12,15,19,25,12,22,21,19,16,26,14
apollo program ,0,2,3,19,26,10,40,28,47,19,21,53,15,5,8,4
spacecraft center ,5,20,46,56,46,1,2,2,1,1,4,107,15,0,0,1
experiment to ,0,9,12,10,8,34,25,24,14,47,57,21,28,5,5,4
and nasa ,4,11,22,36,29,22,23,20,19,19,21,16,17,11,9,9
that could ,0,3,5,16,35,19,13,6,13,19,19,24,13,21,27,36
north american ,5,17,21,40,28,27,37,18,25,16,11,40,5,3,4,3
earth orbit ,1,3,17,22,10,29,14,22,21,16,18,26,25,19,18,10
sounding rockets ,3,6,12,36,19,30,25,27,14,34,31,19,20,8,10,2
of these ,1,9,41,33,55,14,17,8,11,21,16,19,11,9,13,9
in fy ,0,4,3,9,8,12,5,31,19,44,40,48,37,15,15,7
the next ,1,13,15,25,45,17,21,3,12,6,8,11,16,23,14,17
payload to ,2,9,21,26,15,25,20,36,59,29,9,15,26,1,3,1
of all ,6,12,15,35,30,20,19,17,18,18,9,28,19,15,9,13
earth and ,2,14,16,18,28,13,17,8,30,17,14,20,34,20,18,14
president johnson ,2,3,10,56,73,53,38,50,10,0,0,1,4,0,0,1
announced by ,3,4,24,18,21,9,5,2,10,29,54,59,53,5,2,3
rocket launched ,0,9,18,24,14,38,46,45,42,21,26,10,1,2,0,3
b sun ,0,0,0,0,0,0,34,47,59,32,38,30,23,11,12,9
be made ,0,15,25,29,36,21,21,19,18,11,20,15,24,12,8,10
than the ,1,4,18,24,29,13,13,7,9,7,5,13,24,32,25,28
spacecraft and ,1,4,13,24,30,23,18,23,19,13,23,26,20,10,12,6
were to ,2,1,16,22,16,15,15,25,30,22,33,22,18,10,18,9
design and ,2,5,20,20,11,14,14,18,23,15,18,20,27,13,21,14
of manned ,3,10,47,30,28,18,8,30,19,15,7,24,21,8,11,4
of flight ,2,8,25,25,25,24,19,21,26,32,21,23,9,4,7,7
launched cosmos ,0,3,2,7,17,23,23,31,26,40,45,32,31,4,1,0
when the ,1,11,10,28,51,9,11,3,6,5,8,5,28,17,29,22
before the ,4,13,32,18,34,22,19,2,5,5,4,4,27,32,19,10
the end ,3,4,14,19,33,15,15,7,9,5,9,8,30,19,16,29
in its ,5,10,18,44,44,21,15,8,13,9,5,9,10,14,9,18
based on ,2,18,25,39,37,22,21,8,14,8,7,14,5,9,14,18
supersonic transport ,3,7,32,61,33,26,12,2,12,12,17,30,21,4,5,4
spacecraft was ,0,9,15,21,38,29,24,15,13,13,22,22,23,12,11,6
can be ,0,17,45,39,31,21,19,12,25,17,14,21,10,7,2,2
a l ,0,2,21,7,30,18,17,22,63,6,34,13,16,7,22,1
