two engines,12,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,3,0,0,0,0
Two days,12,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
three stages,12,1,0,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1
three flights,12,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0
9 days,12,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,1,0,1,0,0,0,0
7 days,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,0,0
600 miles,12,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
5 times,12,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,4,2,0,1,0,0,0,0,0
5 lbs,12,0,0,1,1,1,1,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5 days,12,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0
30 minutes,12,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,2
3 years,12,0,0,1,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0
20 minutes,12,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2 astronauts,12,0,0,0,0,5,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
16 astronauts,12,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
15 minutes,12,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,1,0
100 miles,12,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0
000 workers,12,0,0,0,0,1,0,0,0,0,2,2,1,4,0,2,0,0,0,0,0,0,0,0,0
two stages,11,0,1,1,2,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
two seconds,11,0,0,0,0,1,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
two miles,11,0,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
